net,radius,data_number,patch_format,drawdown,rs,gene,time
FNN_big,0.3,200,reassure,0.0,1.0,0.0155,5186.656458377838
FNN_big,0.3,500,reassure,0,0,0,0
FNN_big,0.3,1000,reassure,0,0,0,0
CNN_small,0.05,50,reassure,0.0,1.0,0.472,509.25927901268005
CNN_small,0.05,100,reassure,0.0,1.0,0.457,910.7014141082764
CNN_small,0.05,200,reassure,0.0,1.0,0.5095,1825.6075537204742
CNN_small,0.05,500,reassure,0,0,0,0
CNN_small,0.05,1000,reassure,0,0,0,0
CNN_small,0.1,50,reassure,0.0,1.0,0.104,455.9946644306183
CNN_small,0.1,100,reassure,0.0,1.0,0.147,896.8084437847137
CNN_small,0.1,200,reassure,0.0,1.0,0.1295,1800.8040964603424
CNN_small,0.1,500,reassure,0,0,0,0
CNN_small,0.1,1000,reassure,0,0,0,0
CNN_small,0.3,50,reassure,0.0,1.0,0.04,453.7753167152405
CNN_small,0.3,100,reassure,0.0,1.0,0.027,907.4684917926788
CNN_small,0.3,200,reassure,0.0,1.0,0.0365,1793.6969163417816
CNN_small,0.3,500,reassure,0,0,0,0
CNN_small,0.3,1000,reassure,0,0,0,0
FNN_small,0.05,50,aprnn,0.19679999999999997,1.0,0.472,3.4910273514688015
FNN_small,0.05,100,aprnn,0.29569999999999996,1.0,0.467,9.634340955875814
FNN_small,0.05,200,aprnn,0.6617999999999999,0.0,0.1605,82.79471600893885
FNN_small,0.05,500,aprnn,0.6833,0.0,0.103,73.01547241862863
FNN_small,0.05,1000,aprnn,0.6925,0.0,0.1092,34.259677971713245
FNN_small,0.1,50,aprnn,0.5089,1.0,0.32,3.782395108602941
FNN_small,0.1,100,aprnn,0.4849,0.0,0.219,72.78495757747442
FNN_small,0.1,200,aprnn,0.639,0.0,0.129,149.19111980404705
FNN_small,0.1,500,aprnn,0.7182,0.0,0.1734,27.92568692099303
FNN_small,0.1,1000,aprnn,0.7298,0.0,0.1518,33.865111134946346
FNN_small,0.3,50,aprnn,0.42889999999999995,1.0,0.374,3.625361882150173
FNN_small,0.3,100,aprnn,0.6151,1.0,0.184,9.525988356210291
FNN_small,0.3,200,aprnn,0.5416,0.0,0.0885,132.11315710376948
FNN_small,0.3,500,aprnn,0.6573,0.0,0.1282,147.93449982907623
FNN_small,0.3,1000,aprnn,0.8387,0.0,0.1246,44.717900943011045
FNN_big,0.05,50,aprnn,0.03590000000000004,1.0,0.648,11.167629054747522
FNN_big,0.05,100,aprnn,0.16049999999999998,1.0,0.674,24.25645745266229
FNN_big,0.05,200,aprnn,0.2811,1.0,0.646,92.31507697608322
FNN_big,0.05,500,aprnn,0.2582,1.0,0.6618,657.6015321016312
FNN_big,0.05,1000,aprnn,0.28049999999999997,1.0,0.6841,5499.167876083404
FNN_big,0.1,50,aprnn,0.13880000000000003,1.0,0.442,10.53760114684701
FNN_big,0.1,100,aprnn,0.25760000000000005,1.0,0.463,22.822314774617553
FNN_big,0.1,200,aprnn,0.2773,1.0,0.4675,95.81361994612962
FNN_big,0.1,500,aprnn,0.3366,1.0,0.4928,684.795292201452
FNN_big,0.1,1000,aprnn,0.3326,1.0,0.4992,4726.382745940238
FNN_big,0.3,50,aprnn,0.3329,1.0,0.204,11.64727276749909
FNN_big,0.3,100,aprnn,0.5656,1.0,0.278,27.044956617988646
FNN_big,0.3,200,aprnn,0.2843,1.0,0.31,105.63820826541632
FNN_big,0.3,500,aprnn,0.2953,1.0,0.3602,671.8370565185323
FNN_big,0.3,1000,aprnn,0.2632,1.0,0.3713,4297.310115318745
CNN_small,0.05,50,aprnn,-0.0004999999999999449,1.0,0.676,57.90317497868091
CNN_small,0.05,100,aprnn,0.0010000000000000009,1.0,0.656,98.98733008187264
CNN_small,0.05,200,aprnn,0.0,1.0,0.6255,182.93696333561093
CNN_small,0.05,500,aprnn,-0.0008000000000000229,1.0,0.6234,547.7580990120769
CNN_small,0.05,1000,aprnn,0.0,1.0,0.6376,1611.6383711043745
CNN_small,0.1,50,aprnn,0.0011999999999999789,1.0,0.41,56.61072670575231
CNN_small,0.1,100,aprnn,0.0007000000000000339,1.0,0.46,104.769964187406
CNN_small,0.1,200,aprnn,0.0030000000000000027,1.0,0.461,178.4769336404279
CNN_small,0.1,500,aprnn,0.0035000000000000586,1.0,0.47,458.4619834534824
CNN_small,0.1,1000,aprnn,0.0019000000000000128,1.0,0.4874,1526.0335413096473
CNN_small,0.3,50,aprnn,0.07179999999999997,1.0,0.7,59.9216725807637
CNN_small,0.3,100,aprnn,0.0504,1.0,0.755,105.41584466863424
CNN_small,0.3,200,aprnn,0.035599999999999965,1.0,0.7825,196.15807809960097
CNN_small,0.3,500,aprnn,0.032200000000000006,1.0,0.7332,518.8198441527784
CNN_small,0.3,1000,aprnn,0.021600000000000064,1.0,0.7057,1666.9976239483804
